,imgName,trialType
249,target_waterfall_sun_beymsjkywdwqictt.jpg,repeat
250,target_sea_n09376198_34266.jpg,repeat
251,filler_waterfall_sun_brwngbfhqycrxaiz.jpg,filler
252,target_barn_n02793495_183.jpg,target
253,target_icescape_n09289331_679.jpg,target
254,target_savanna_32228339a01b0f4c.jpg,target
255,target_barn_n02793495_1919.jpg,target
256,target_plantation_7bc77f7a206c721c.jpg,target
257,target_savanna_32228339a01b0f4c.jpg,repeat
258,target_barn_n02793495_183.jpg,repeat
259,target_icescape_n09289331_679.jpg,repeat
260,target_barn_n02793495_1919.jpg,repeat
261,filler_creek_61a523fb9fa663e8.jpg,filler
262,target_plantation_7bc77f7a206c721c.jpg,repeat
263,target_river_n09415671_17299.jpg,target
264,filler_field_n09393605_13641.jpg,filler
265,target_jungle_d4bfe00b896bae57.jpg,target
266,target_lake_n03634034_7778.jpg,target
267,filler_badlands_sun_belkzcvlquyyzxlu.jpg,filler
268,target_plantation_92600fb00101ba52.jpg,target
269,target_river_n09415671_17299.jpg,repeat
270,target_lake_n03634034_7778.jpg,repeat
271,target_jungle_d4bfe00b896bae57.jpg,repeat
272,target_jungle_39428ef59a36414d.jpg,target
273,target_plantation_92600fb00101ba52.jpg,repeat
274,target_icescape_n09289331_6768.jpg,target
275,target_jungle_39428ef59a36414d.jpg,repeat
276,filler_badlands_107a6a75b9ff7593.jpg,filler
277,target_geyser_n09288635_365.jpg,target
278,filler_valley_n09468604_995.jpg,filler
279,target_icescape_n09289331_6768.jpg,repeat
280,target_creek_b52fbb2521836cc7.jpg,target
281,filler_geyser_n09288635_2529.jpg,filler
282,target_volcano_n09472597_52504.jpg,target
283,target_geyser_n09288635_365.jpg,repeat
284,target_volcano_n09472597_52504.jpg,repeat
285,target_creek_b52fbb2521836cc7.jpg,repeat
286,target_sea_n09376198_15858.jpg,target
287,filler_savanna_sun_aqbpztfbkpkfbxqx.jpg,filler
288,filler_creek_0618cd4758301cb9.jpg,filler
289,target_volcano_n09472597_29635.jpg,target
290,filler_wetland_9ae6eb66b27d02b7.jpg,filler
291,target_barn_n02793495_13455.jpg,target
292,target_sea_n09376198_15858.jpg,repeat
293,target_desert_n09270735_12116.jpg,target
294,target_volcano_n09472597_29635.jpg,repeat
295,target_barn_n02793495_13455.jpg,repeat
296,target_river_n09415671_6202.jpg,target
297,target_creek_db65aaa975ba7c84.jpg,target
298,target_desert_n09270735_12116.jpg,repeat
299,target_river_n09415671_6202.jpg,repeat
300,target_jungle_e6d35f289201c1cf.jpg,target
301,target_creek_db65aaa975ba7c84.jpg,repeat
302,filler_sea_n09376198_39046.jpg,filler
303,filler_pasture_sun_ayaekrkszrutbauj.jpg,filler
304,target_field_n09393605_3369.jpg,target
305,target_waterfall_sun_bsssizmsssfovgzv.jpg,target
306,target_jungle_e6d35f289201c1cf.jpg,repeat
307,target_waterfall_sun_bsssizmsssfovgzv.jpg,repeat
308,target_lake_n03634034_2188.jpg,target
309,target_field_n09393605_3369.jpg,repeat
310,filler_wetland_ab2578ac27d1ad5d.jpg,filler
311,target_lake_n03634034_2188.jpg,repeat
312,target_barn_n02793495_3852.jpg,target
313,target_desert_n09270735_24858.jpg,target
314,target_desert_sun_aypzejealkrzrqxx.jpg,target
315,target_creek_8474877e90b4ab52.jpg,target
316,target_desert_n09270735_24858.jpg,repeat
317,target_creek_8474877e90b4ab52.jpg,repeat
318,target_barn_n02793495_3852.jpg,repeat
319,target_desert_sun_aypzejealkrzrqxx.jpg,repeat
